Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
406850,1,0.75,-3.77,41
407050,1,0.39,-3.7,41
407250,1,0.98,0.03,87
407450,1,1.57,-3.84,58
407650,1,1.18,-3.81,73
407850,1,0.65,-3.76,50
408050,1,0.34,-3.67,74
408250,1,2.04,-3.84,100
408450,1,1.47,-3.83,41
408650,1,1.05,-3.76,40
408850,1,0.86,-3.67,100
409050,1,0.45,-3.64,72
409250,1,0.96,0.05,64
409450,1,1.47,-3.83,72
409650,1,1.11,-3.81,58
409850,1,0.65,-3.76,52
410050,1,0.28,-3.69,82
410250,1,1.49,-3.84,72
410450,1,1.48,-3.8,82
410650,1,0.96,-3.78,85
410850,1,0.54,-3.72,41
411050,1,1.02,0.08,98
411250,1,1.51,-3.84,41
411450,1,1.12,-3.81,50
411650,1,0.75,-3.77,45
411850,1,0.39,-3.7,74
412050,1,0.84,0.06,60
412250,1,1.3,-3.83,52
412450,1,0.92,-3.79,61
412650,1,0.66,-3.71,90
412850,1,0.43,-3.62,40
413050,1,0.88,0.04,53
413250,1,1.33,-3.83,61
413450,1,0.88,-3.78,61
413650,1,0.62,-3.72,41
413850,1,0.31,-3.66,52
414050,1,1.5,-3.84,74
414250,1,0.81,-1.26,72
414450,1,0.63,-0.69,77
414650,1,0.54,-0.43,54
414850,1,0.51,-0.28,82
415050,1,0.5,-0.21,56
415250,1,0.48,-0.16,79
415450,1,0.53,0.1,78
415650,1,0.57,0.04,78
415850,1,0.62,0.1,63
416050,1,0.67,0.09,71
416250,1,0.71,0.07,69
416450,1,0.76,0.15,74
416650,1,0.77,0.09,47
416850,1,0.78,0.08,63
417050,1,0.79,0.0,41
417250,1,0.9,-1.24,41
417450,1,0.77,-1.57,65
417650,1,0.52,-2.06,45
417850,1,0.3,-2.61,58
418050,1,0.8,0.08,67
418250,1,1.3,-3.83,40
418450,1,0.93,-3.79,50
418650,1,0.56,-3.74,52
418850,1,0.84,0.04,61
419050,1,1.12,-3.84,65
419250,1,0.99,-3.78,40
419450,1,0.46,-3.76,40
419650,1,0.37,-3.64,41
419850,1,0.5,0.05,57
420050,1,0.62,0.05,95
420250,1,0.75,0.0,55
420450,1,0.75,-0.04,68
420650,1,0.95,-0.06,46
420850,1,0.91,-0.09,53
421050,1,0.91,0.02,76
421250,1,0.9,0.09,80
421450,1,0.9,0.03,71
421650,1,0.9,0.09,73
421850,1,0.9,0.1,72
422050,1,0.89,0.09,84
422250,1,0.89,-1.86,64
422450,1,0.83,-2.51,40
422650,1,0.61,-2.14,44
422850,1,0.41,-2.69,52
423050,1,0.86,0.05,61
423250,1,1.31,-3.83,41
423450,1,0.93,-3.79,52
423650,1,0.88,-2.36,74
423850,1,0.55,-2.81,74
424050,1,0.22,-3.05,45
424250,1,1.51,-3.84,50
424450,1,1.13,-3.81,85
424650,1,0.56,-3.79,65
424850,1,0.43,-3.67,41
425050,1,0.49,0.07,70
425250,1,0.55,0.03,74
425450,1,0.61,0.02,43
425650,1,0.59,-0.94,100
425850,1,0.59,-0.55,42
426050,1,0.58,-0.34,51
426250,1,0.49,-0.75,40
426450,1,1.5,-3.84,73
426650,1,1.12,-3.81,61
426850,1,0.75,-3.77,72
427050,1,0.4,-3.7,61
427250,1,0.94,0.04,60
427450,1,1.49,-3.84,74
427650,1,1.11,-3.81,65
427850,1,0.75,-3.77,58
428050,1,0.4,-3.7,41
428250,1,0.85,0.11,56
428450,1,1.3,-3.83,74
428650,1,1.06,-3.79,89
428850,1,0.65,-3.74,68
429050,1,0.28,-3.67,50
429250,1,0.6,0.05,69
429450,1,0.92,-1.93,45
429650,1,0.62,-0.91,45
429850,1,0.55,-2.03,89
430050,1,0.44,-1.27,44
430250,1,0.52,0.08,87
430450,1,0.59,0.05,59
430650,1,0.66,0.09,78
430850,1,0.74,0.01,43
431050,1,1.0,-2.55,41
431250,1,0.74,-2.18,47
431450,1,0.56,-2.46,40
431650,1,0.31,-1.88,58
431850,1,0.17,-1.4,51
432050,1,0.29,0.08,99
432250,1,0.41,0.09,64
432450,1,0.52,0.03,66
432650,1,0.64,0.01,63
432850,1,0.76,0.24,74
433050,1,0.76,0.06,69
433250,1,0.77,0.08,52
433450,1,0.77,0.01,42
433650,1,0.79,0.01,46
433850,1,0.77,-0.8,58
434050,1,0.58,-1.82,41
434250,1,0.32,-2.4,53
434450,1,0.81,0.03,65
434650,1,1.3,-3.83,61
434850,1,0.93,-3.79,50
435050,1,0.37,-3.77,50
435250,1,1.5,-3.84,41
435450,1,1.5,0.05,51
435650,1,1.5,-3.84,58
435850,1,1.12,-3.8,68
436050,1,0.62,-3.78,41
436250,1,0.83,0.05,56
436450,1,1.04,-1.93,40
436650,1,0.89,-2.9,41
436850,1,0.57,-2.12,45
437050,1,0.62,0.09,56
437250,1,0.68,0.08,60
437450,1,0.73,-0.17,88
437650,1,0.7,0.04,82
437850,1,0.67,0.08,65
438050,1,0.64,0.08,83
438250,1,0.61,0.07,96
438450,1,0.58,0.1,52
438650,1,0.55,0.07,100
438850,1,0.52,0.0,72
439050,1,0.68,-1.3,45
439250,1,0.58,-0.7,65
439450,1,0.53,-0.43,44
439650,1,0.51,-0.28,49
439850,1,0.5,-0.18,48
440050,1,0.49,-0.12,46
440250,1,1.49,-3.84,45
440450,1,1.12,-3.81,50
440650,1,0.56,-3.79,40
440850,1,0.34,-3.68,45
441050,1,0.82,0.06,78
441250,1,1.31,-3.83,74
441450,1,0.96,-3.79,50
441650,1,0.48,-3.73,74
441850,1,0.72,0.06,75
442050,1,0.97,-1.93,60
