Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
701450,1,1.52,-3.84,81
701650,1,1.12,-3.8,40
701850,1,0.96,-3.7,90
702050,1,0.83,-3.64,116
702250,1,0.7,-3.57,104
702450,1,0.48,-3.51,82
702650,1,0.29,-3.42,113
702850,1,2.23,-3.84,169
703050,1,1.74,-3.82,104
703250,1,1.39,-3.77,104
703450,1,1.02,-3.71,173
703650,1,0.7,-3.62,205
703850,1,0.34,-3.57,49
704050,1,2.23,-3.84,116
704250,1,1.82,-3.82,130
704450,1,1.32,-2.9,925
704650,1,1.06,-2.54,137
704850,0,N/A,N/A,N/A
705050,0,N/A,N/A,N/A
705250,0,N/A,N/A,N/A
705450,1,0.8,-0.11,5545
705650,1,0.95,-1.96,50
705850,1,0.78,-1.22,2450
706050,1,0.73,-0.64,1972
706250,0,N/A,N/A,N/A
706450,0,N/A,N/A,N/A
706650,0,N/A,N/A,N/A
706850,1,1,0.01,3106
707050,0,N/A,N/A,N/A
707250,1,0.75,0.02,6649
707450,1,1.5,0.09,2048
707650,1,1.76,0.1,2221
707850,1,1.62,-0.71,657
708050,1,1.39,-1.07,565
708250,1,1.14,-1.54,116
708450,1,0.82,-2.26,106
708650,0,N/A,N/A,N/A
708850,0,N/A,N/A,N/A
709050,0,N/A,N/A,N/A
709250,1,0.75,-0.09,24649
709450,1,0.74,-0.14,26186
709650,0,N/A,N/A,N/A
709850,0,N/A,N/A,N/A
710050,0,N/A,N/A,N/A
710250,1,0.56,-0.22,2765
710450,1,0.53,-0.16,51125
710650,1,0.51,-0.09,7400
710850,1,0.56,-0.74,122
711050,1,0.5,-0.48,5140
711250,1,2.1,-3.84,130
711450,1,1.51,-3.83,125
711650,1,1.67,-3.73,145
711850,1,0.53,0.01,8245
712050,1,0.52,0.01,5189
712250,1,0.52,0.01,4849
712450,1,0.52,0.01,6581
712650,1,1.49,-3.84,58
712850,1,1.36,-3.81,52
713050,1,0.89,-3.78,106
713250,1,0.38,-3.72,58
713450,1,1.5,-3.84,85
713650,1,1.36,-3.81,41
713850,1,0.89,-3.78,74
714050,1,0.49,-3.72,50
714250,1,0.2,-3.63,41
714450,1,1.49,-3.84,41
714650,1,1.36,-3.81,80
714850,1,0.89,-3.78,61
715050,1,0.61,-2.96,29818
715250,1,0.4,-1.86,26961
715450,0,N/A,N/A,N/A
715650,0,N/A,N/A,N/A
715850,0,N/A,N/A,N/A
716050,0,N/A,N/A,N/A
716250,1,0.77,0.25,7546
716450,1,0.87,0.25,15912
716650,1,0.92,0.18,2034
716850,1,0.96,-0.59,1250
717050,1,0.89,-1.19,113
717250,0,N/A,N/A,N/A
717450,1,1.66,-3.77,45
717650,1,1.4,-3.76,97
717850,1,1.01,-3.73,52
718050,1,0.61,-3.68,45
718250,1,0.38,-3.57,116
718450,0,N/A,N/A,N/A
718650,1,1.68,-3.85,45
718850,0,N/A,N/A,N/A
719050,0,N/A,N/A,N/A
719250,0,N/A,N/A,N/A
719450,1,1.12,-3.84,53
719650,0,N/A,N/A,N/A
719850,0,N/A,N/A,N/A
720050,1,1.6,-3.81,90
720250,1,1.11,-1.8,1181
720450,1,0.95,-1.06,1460
720650,1,0.89,-0.67,653
720850,1,0.82,-1.24,100
721050,1,0.65,-1.68,117
721250,1,0.39,-2.29,90
721450,1,0.25,-2.59,106
721650,0,N/A,N/A,N/A
721850,1,1.7,-3.83,82
722050,1,1.44,-3.78,193
722250,1,1.1,-3.75,52
722450,1,0.7,-3.66,104
