Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
402250,1,0.715,0.1,86.0
402450,1,0.69,0.03,100.0
402650,1,0.665,0.05,57.0
402850,1,0.64,0.01,72.0
403050,1,0.615,0.03,73.0
403250,1,0.59,0.02,9305.0
403450,1,0.736,0.02,53.0
403650,1,0.882,0.07,79.0
403850,1,1.028,0.07,71.0
404050,1,1.174,0.1,93.0
404250,1,1.32,-3.83,85.0
404450,1,0.75,-1.81,5045.0
404650,1,0.7,-1.85,85.0
404850,1,0.46,-2.48,58.0
405050,1,0.17,-2.82,50.0
405250,1,0.885,0.07,87.0
405450,1,1.6,-3.84,85.0
405650,1,1.16,-3.81,45.0
405850,1,0.99,-3.73,121.0
406050,1,0.65,-3.67,82.0
406250,1,0.26,-3.62,52.0
406450,1,1.5,-3.84,72.0
406650,1,1.12,-3.81,61.0
406850,1,0.75,-3.77,41.0
407050,1,0.39,-3.7,41.0
407250,1,0.98,0.03,87.0
407450,1,1.57,-3.84,58.0
407650,1,1.18,-3.81,73.0
407850,1,0.65,-3.76,50.0
408050,1,0.34,-3.67,74.0
408250,1,2.04,-3.84,100.0
408450,1,1.47,-3.83,41.0
408650,1,1.05,-3.76,101.0
408850,1,0.86,-3.67,100.0
409050,1,0.45,-3.64,72.0
409250,1,0.96,0.05,64.0
409450,1,1.47,-3.83,72.0
409650,1,1.11,-3.81,58.0
409850,1,0.65,-3.76,52.0
410050,1,0.28,-3.69,82.0
410250,1,1.49,-3.84,72.0
410450,1,1.48,-3.8,82.0
410650,1,0.96,-3.78,85.0
410850,1,0.54,-3.72,41.0
411050,1,1.025,0.08,98.0
411250,1,1.51,-3.84,41.0
411450,1,1.12,-3.81,50.0
411650,1,0.75,-3.77,45.0
411850,1,0.39,-3.7,74.0
412050,1,0.845,0.06,60.0
412250,1,1.3,-3.83,52.0
412450,1,0.92,-3.79,61.0
412650,1,0.66,-3.71,90.0
412850,1,0.43,-3.62,104.0
413050,1,0.88,0.04,53.0
413250,1,1.33,-3.83,61.0
413450,1,0.88,-3.78,61.0
413650,1,0.62,-3.72,41.0
413850,1,0.31,-3.66,52.0
414050,1,1.5,-3.84,74.0
414250,1,0.81,-1.26,36517.0
414450,1,0.63,-0.69,41746.0
414650,1,0.54,-0.43,16229.0
414850,1,0.51,-0.28,47290.0
415050,1,0.5,-0.21,17909.0
415250,1,0.48,-0.16,43281.0
415450,1,0.5266666666666666,0.1,78.0
415650,1,0.5733333333333334,0.04,78.0
415850,1,0.62,0.1,63.0
416050,1,0.6666666666666666,0.09,71.0
416250,1,0.7133333333333334,0.07,69.0
416450,1,0.76,0.15,37745.0
416650,1,0.77,0.09,8080.0
416850,1,0.78,0.08,63.0
417050,1,0.79,0.0,1373.0
417250,1,0.9,-1.24,1226.0
417450,1,0.77,-1.57,65.0
417650,1,0.52,-2.06,45.0
417850,1,0.3,-2.61,58.0
418050,1,0.8,0.08,67.0
418250,1,1.3,-3.83,40.0
418450,1,0.93,-3.79,50.0
418650,1,0.56,-3.74,52.0
418850,1,0.8400000000000001,0.04,61.0
419050,1,1.12,-3.84,65.0
419250,1,0.99,-3.78,40.0
419450,1,0.46,-3.76,40.0
419650,1,0.37,-3.64,41.0
419850,1,0.4966666666666667,0.05,57.0
420050,1,0.6233333333333333,0.05,95.0
420250,1,0.75,0.0,17408.0
420450,1,0.75,-0.04,31397.0
420650,1,0.95,-0.06,6893.0
420850,1,0.91,-0.09,14884.0
421050,1,0.9071428571428571,0.02,76.0
421250,1,0.9042857142857144,0.09,80.0
421450,1,0.9014285714285715,0.03,71.0
421650,1,0.8985714285714286,0.09,73.0
421850,1,0.8957142857142857,0.1,72.0
422050,1,0.8928571428571429,0.09,84.0
422250,1,0.89,-1.86,27565.0
422450,1,0.83,-2.51,101.0
422650,1,0.61,-2.14,4561.0
422850,1,0.41,-2.69,52.0
423050,1,0.86,0.05,61.0
423250,1,1.31,-3.83,41.0
423450,1,0.93,-3.79,52.0
423650,1,0.88,-2.36,74.0
423850,1,0.55,-2.81,74.0
424050,1,0.22,-3.05,45.0
424250,1,1.51,-3.84,50.0
424450,1,1.13,-3.81,85.0
424650,1,0.56,-3.79,65.0
424850,1,0.43,-3.67,41.0
425050,1,0.49,0.07,70.0
425250,1,0.55,0.03,37960.0
425450,1,0.61,0.02,3869.0
425650,1,0.59,-0.94,100.0
425850,1,0.59,-0.55,2920.0
426050,1,0.58,-0.34,12637.0
426250,1,0.49,-0.75,949.0
426450,1,1.5,-3.84,73.0
426650,1,1.12,-3.81,61.0
426850,1,0.75,-3.77,72.0
427050,1,0.4,-3.7,61.0
427250,1,0.9450000000000001,0.04,60.0
427450,1,1.49,-3.84,74.0
427650,1,1.11,-3.81,65.0
427850,1,0.75,-3.77,58.0
428050,1,0.4,-3.7,41.0
428250,1,0.8500000000000001,0.11,56.0
428450,1,1.3,-3.83,74.0
428650,1,1.06,-3.79,89.0
428850,1,0.65,-3.74,68.0
429050,1,0.28,-3.67,50.0
429250,1,0.6000000000000001,0.05,69.0
429450,1,0.92,-1.93,5945.0
429650,1,0.62,-0.91,6280.0
429850,1,0.55,-2.03,89.0
430050,1,0.44,-1.27,5125.0
430250,1,0.515,0.08,87.0
430450,1,0.59,0.05,59.0
430650,1,0.665,0.09,78.0
430850,1,0.74,0.01,3977.0
431050,1,1.0,-2.55,41.0
431250,1,0.74,-2.18,7970.0
431450,1,0.56,-2.46,106.0
431650,1,0.31,-1.88,21057.0
431850,1,0.17,-1.4,12404.0
432050,1,0.28800000000000003,0.08,99.0
432250,1,0.406,0.09,64.0
432450,1,0.524,0.03,66.0
432650,1,0.642,0.01,63.0
432850,1,0.76,0.24,38281.0
433050,1,0.7633333333333333,0.06,69.0
433250,1,0.7666666666666667,0.08,52.0
433450,1,0.77,0.01,2420.0
433650,1,0.79,0.01,7825.0
433850,1,0.77,-0.8,58.0
434050,1,0.58,-1.82,41.0
434250,1,0.32,-2.4,53.0
434450,1,0.81,0.03,65.0
434650,1,1.3,-3.83,61.0
434850,1,0.93,-3.79,50.0
435050,1,0.37,-3.77,50.0
435250,1,1.5,-3.84,41.0
435450,1,1.5,0.05,51.0
