Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2141711,0.71,0.35,-9.49
2141723,0.75,0.27,-9.45
2141735,0.71,0.27,-9.41
2141747,0.75,0.27,-9.45
2141759,0.75,0.27,-9.49
2141771,0.75,0.31,-9.45
2141783,0.75,0.31,-9.45
2141795,0.78,0.31,-9.49
2141807,0.75,0.31,-9.45
2141819,0.75,0.31,-9.41
2141831,0.75,0.35,-9.45
2141843,0.75,0.35,-9.41
2141855,0.75,0.31,-9.41
2141867,0.75,0.31,-9.45
2141879,0.75,0.35,-9.45
2141891,0.71,0.35,-9.45
2141903,0.71,0.31,-9.45
2141915,0.71,0.27,-9.45
2141927,0.71,0.31,-9.45
2141939,0.75,0.31,-9.45
2141951,0.75,0.31,-9.45
2141963,0.82,0.35,-9.38
2141975,0.75,0.31,-9.41
2141987,0.71,0.27,-9.45
2141999,0.71,0.31,-9.49
2142011,0.75,0.31,-9.49
2142023,0.75,0.31,-9.38
2142035,0.75,0.27,-9.45
2142047,0.75,0.27,-9.49
2142059,0.75,0.27,-9.45
2142071,0.75,0.27,-9.45
2142083,0.75,0.31,-9.41
2142095,0.71,0.27,-9.45
2142107,0.67,0.31,-9.45
2142119,0.75,0.27,-9.45
2142131,0.71,0.35,-9.45
2142143,0.71,0.35,-9.45
2142155,0.67,0.31,-9.49
2142167,0.71,0.27,-9.41
2142179,0.75,0.31,-9.45
2142191,0.75,0.35,-9.49
2142203,0.78,0.31,-9.38
2142215,0.75,0.27,-9.41
2142227,0.75,0.27,-9.45
2142239,0.75,0.27,-9.45
2142251,0.78,0.31,-9.49
2142263,0.75,0.27,-9.49
2142275,0.71,0.27,-9.45
2142287,0.75,0.31,-9.45
2142299,0.71,0.31,-9.45
2142311,0.75,0.27,-9.45
2142323,0.71,0.31,-9.41
2142335,0.71,0.31,-9.45
2142347,0.75,0.27,-9.41
2142359,0.75,0.27,-9.41
2142371,0.71,0.39,-9.41
2142383,0.75,0.35,-9.41
2142395,0.71,0.35,-9.49
2142407,0.75,0.27,-9.45
2142419,0.75,0.31,-9.49
2142431,0.75,0.31,-9.45
2142443,0.75,0.24,-9.45
2142455,0.67,0.27,-9.49
2142467,0.71,0.31,-9.49
2142479,0.78,0.27,-9.45
2142491,0.71,0.31,-9.45
2142503,0.71,0.35,-9.45
2142515,0.75,0.27,-9.45
2142527,0.71,0.31,-9.41
2142539,0.75,0.27,-9.38
2142551,0.75,0.31,-9.45
2142563,0.75,0.31,-9.41
2142575,0.71,0.31,-9.49
2142587,0.78,0.27,-9.45
2142599,0.75,0.35,-9.45
2142611,0.75,0.31,-9.45
