Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:52.544] 103247, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.544] 103259, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.544] 103271, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.544] 103283, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.544] 103295, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.544] 103307, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.544] 103319, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.550] 103331, 0.67, 0.43, -9.38
[2024-08-14 10:14:52.550] 103343, 0.71, 0.39, -9.45
[2024-08-14 10:14:52.550] 103355, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.550] 103367, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.550] 103379, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.550] 103391, 0.63, 0.31, -9.41
[2024-08-14 10:14:52.550] 103403, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.562] 103415, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.562] 103427, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.562] 103439, 0.71, 0.31, -9.41
[2024-08-14 10:14:52.562] 103451, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.562] 103463, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.562] 103475, 0.67, 0.31, -9.41
[2024-08-14 10:14:52.562] 103487, 0.71, 0.39, -9.53
[2024-08-14 10:14:52.562] 103499, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.562] 103511, 0.67, 0.31, -9.45
[2024-08-14 10:14:52.562] 103523, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.562] 103535, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.571] 103547, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.571] 103559, 0.67, 0.43, -9.41
[2024-08-14 10:14:52.571] 103571, 0.67, 0.43, -9.41
[2024-08-14 10:14:52.571] 103583, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.571] 103595, 0.67, 0.31, -9.49
[2024-08-14 10:14:52.571] 103607, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.573] 103619, 0.71, 0.39, -9.45
[2024-08-14 10:14:52.573] 103631, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.584] 103643, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.584] 103655, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.584] 103667, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.584] 103679, 0.71, 0.39, -9.45
[2024-08-14 10:14:52.584] 103691, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.584] 103703, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.584] 103715, 0.63, 0.39, -9.45
