Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:49.001,0.67,0.43,-9.45
2024-08-14 11:01:49.012,0.63,0.43,-9.45
2024-08-14 11:01:49.019,0.71,0.43,-9.38
2024-08-14 11:01:49.038,0.63,0.47,-9.41
2024-08-14 11:01:49.038,0.71,0.43,-9.41
2024-08-14 11:01:49.069,0.67,0.43,-9.45
2024-08-14 11:01:49.102,0.67,0.43,-9.45
2024-08-14 11:01:49.102,0.63,0.47,-9.45
2024-08-14 11:01:49.102,0.67,0.39,-9.45
2024-08-14 11:01:49.102,0.67,0.47,-9.41
2024-08-14 11:01:49.122,0.71,0.43,-9.49
2024-08-14 11:01:49.156,0.67,0.43,-9.49
2024-08-14 11:01:49.156,0.63,0.39,-9.49
2024-08-14 11:01:49.180,0.63,0.43,-9.41
2024-08-14 11:01:49.180,0.67,0.43,-9.45
2024-08-14 11:01:49.180,0.67,0.47,-9.45
2024-08-14 11:01:49.180,0.63,0.43,-9.38
2024-08-14 11:01:49.201,0.67,0.47,-9.41
2024-08-14 11:01:49.212,0.67,0.43,-9.41
2024-08-14 11:01:49.212,0.67,0.43,-9.41
2024-08-14 11:01:49.249,0.63,0.43,-9.49
2024-08-14 11:01:49.250,0.71,0.43,-9.41
2024-08-14 11:01:49.250,0.67,0.39,-9.41
2024-08-14 11:01:49.274,0.67,0.39,-9.45
2024-08-14 11:01:49.283,0.71,0.47,-9.45
2024-08-14 11:01:49.283,0.67,0.39,-9.53
2024-08-14 11:01:49.318,0.67,0.39,-9.45
2024-08-14 11:01:49.356,0.63,0.47,-9.41
2024-08-14 11:01:49.356,0.71,0.43,-9.45
2024-08-14 11:01:49.356,0.67,0.47,-9.41
2024-08-14 11:01:49.356,0.71,0.43,-9.38
2024-08-14 11:01:49.373,0.67,0.43,-9.45
2024-08-14 11:01:49.378,0.67,0.47,-9.49
2024-08-14 11:01:49.378,0.67,0.43,-9.41
2024-08-14 11:01:49.394,0.71,0.43,-9.41
2024-08-14 11:01:49.418,0.71,0.47,-9.41
2024-08-14 11:01:49.454,0.71,0.39,-9.45
2024-08-14 11:01:49.454,0.63,0.43,-9.41
2024-08-14 11:01:49.454,0.67,0.39,-9.49
2024-08-14 11:01:49.476,0.71,0.47,-9.38
2024-08-14 11:01:49.476,0.71,0.43,-9.41
2024-08-14 11:01:49.476,0.63,0.47,-9.45
2024-08-14 11:01:49.505,0.67,0.43,-9.49
2024-08-14 11:01:49.514,0.71,0.39,-9.45
2024-08-14 11:01:49.514,0.67,0.43,-9.41
2024-08-14 11:01:49.540,0.67,0.47,-9.45
2024-08-14 11:01:49.545,0.67,0.47,-9.45
2024-08-14 11:01:49.549,0.63,0.47,-9.45
2024-08-14 11:01:49.567,0.67,0.47,-9.49
2024-08-14 11:01:49.593,0.63,0.43,-9.38
2024-08-14 11:01:49.619,0.67,0.47,-9.45
2024-08-14 11:01:49.647,0.63,0.39,-9.45
2024-08-14 11:01:49.647,0.67,0.43,-9.45
2024-08-14 11:01:49.682,0.71,0.43,-9.45
2024-08-14 11:01:49.682,0.67,0.43,-9.45
2024-08-14 11:01:49.682,0.71,0.43,-9.45
2024-08-14 11:01:49.682,0.67,0.43,-9.41
