Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3049646,0.16,0.04,-9.57,Person_1,Static,Static
3049658,0.2,0.04,-9.49,Person_1,Static,Static
3049670,0.2,0.04,-9.49,Person_1,Static,Static
3049682,0.16,0.04,-9.53,Person_1,Static,Static
3049694,0.16,0.04,-9.49,Person_1,Static,Static
3049706,0.16,0.0,-9.53,Person_1,Static,Static
3049718,0.2,0.04,-9.53,Person_1,Static,Static
3049730,0.2,0.0,-9.57,Person_1,Static,Static
3049742,0.2,0.0,-9.53,Person_1,Static,Static
3049754,0.16,0.0,-9.49,Person_1,Static,Static
3049766,0.2,0.0,-9.53,Person_1,Static,Static
3049778,0.2,0.04,-9.53,Person_1,Static,Static
3049790,0.2,0.0,-9.57,Person_1,Static,Static
3049802,0.2,0.04,-9.57,Person_1,Static,Static
3049814,0.2,0.0,-9.61,Person_1,Static,Static
3049826,0.16,0.04,-9.57,Person_1,Static,Static
3049838,0.2,0.0,-9.53,Person_1,Static,Static
3049850,0.2,0.0,-9.53,Person_1,Static,Static
3049862,0.16,0.0,-9.53,Person_1,Static,Static
3049874,0.16,0.0,-9.49,Person_1,Static,Static
3049886,0.16,0.0,-9.53,Person_1,Static,Static
3049898,0.24,0.0,-9.53,Person_1,Static,Static
3049910,0.2,0.0,-9.53,Person_1,Static,Static
3049922,0.2,0.04,-9.49,Person_1,Static,Static
3049934,0.16,0.0,-9.57,Person_1,Static,Static
3049946,0.16,0.0,-9.61,Person_1,Static,Static
3049958,0.2,0.04,-9.53,Person_1,Static,Static
3049970,0.2,0.0,-9.61,Person_1,Static,Static
3049982,0.2,0.0,-9.57,Person_1,Static,Static
3049994,0.16,0.04,-9.57,Person_1,Static,Static
3050006,0.2,0.0,-9.53,Person_1,Static,Static
3050018,0.2,0.04,-9.61,Person_1,Static,Static
3050030,0.16,0.04,-9.57,Person_1,Static,Static
3050042,0.16,0.04,-9.53,Person_1,Static,Static
3050054,0.16,0.04,-9.61,Person_1,Static,Static
3050066,0.2,0.0,-9.49,Person_1,Static,Static
3050078,0.16,0.0,-9.57,Person_1,Static,Static
3050090,0.2,0.08,-9.53,Person_1,Static,Static
3050102,0.2,0.04,-9.57,Person_1,Static,Static
3050114,0.2,0.04,-9.53,Person_1,Static,Static
3050126,0.16,0.04,-9.53,Person_1,Static,Static
3050138,0.2,0.0,-9.53,Person_1,Static,Static
3050150,0.2,0.04,-9.49,Person_1,Static,Static
3050162,0.2,0.0,-9.49,Person_1,Static,Static
3050174,0.2,0.0,-9.53,Person_1,Static,Static
3050186,0.2,0.04,-9.53,Person_1,Static,Static
3050198,0.2,0.04,-9.57,Person_1,Static,Static
3050210,0.24,0.0,-9.53,Person_1,Static,Static
3050222,0.2,0.04,-9.53,Person_1,Static,Static
3050234,0.2,0.0,-9.57,Person_1,Static,Static
3050246,0.2,0.04,-9.53,Person_1,Static,Static
3050258,0.24,0.04,-9.49,Person_1,Static,Static
3050270,0.2,0.04,-9.57,Person_1,Static,Static
3050282,0.2,0.0,-9.61,Person_1,Static,Static
3050294,0.2,0.0,-9.53,Person_1,Static,Static
3050306,0.2,0.0,-9.53,Person_1,Static,Walking
3050318,0.2,0.0,-9.57,Person_1,Static,Walking
3050330,0.2,0.0,-9.49,Person_1,Static,Walking
3050342,0.16,0.04,-9.49,Person_1,Static,Walking
3050354,0.24,-0.08,-9.85,Person_1,Walking,Walking
3050366,0.2,0.08,-9.65,Person_1,Walking,Walking
3050378,0.2,0.0,-9.22,Person_1,Walking,Walking
3050390,0.16,0.0,-9.69,Person_1,Walking,Walking
3050402,0.24,-0.04,-9.73,Person_1,Static,Walking
3050414,0.2,0.08,-9.57,Person_1,Static,Walking
3050426,0.16,0.0,-9.45,Person_1,Static,Walking
3050438,0.16,0.0,-9.57,Person_1,Static,Walking
3050450,0.24,0.04,-9.57,Person_1,Static,Walking
3050462,0.2,0.0,-9.49,Person_1,Static,Static
3050474,0.2,0.0,-9.61,Person_1,Static,Static
3050486,0.2,0.0,-9.61,Person_1,Static,Static
3050498,0.2,0.0,-9.57,Person_1,Static,Static
3050510,0.2,0.0,-9.49,Person_1,Static,Static
3050522,0.16,0.04,-9.61,Person_1,Static,Static
3050534,0.2,-0.04,-9.53,Person_1,Static,Static
3050546,0.2,0.0,-9.49,Person_1,Static,Static
3050558,0.2,0.0,-9.53,Person_1,Static,Static
3050570,0.24,0.0,-9.57,Person_1,Static,Static
3050582,0.2,0.04,-9.53,Person_1,Static,Static
3050594,0.2,0.0,-9.53,Person_1,Static,Static
3050606,0.2,0.0,-9.61,Person_1,Static,Static
3050618,0.2,0.0,-9.57,Person_1,Static,Static
3050630,0.2,0.0,-9.53,Person_1,Static,Static
3050642,0.2,0.04,-9.49,Person_1,Static,Static
3050654,0.24,0.0,-9.57,Person_1,Static,Static
3050666,0.2,0.0,-9.53,Person_1,Static,Static
3050678,0.2,0.04,-9.49,Person_1,Static,Static
3050690,0.2,0.04,-9.53,Person_1,Static,Static
3050702,0.16,0.0,-9.57,Person_1,Static,Static
3050714,0.24,0.0,-9.53,Person_1,Static,Static
3050726,0.2,0.04,-9.49,Person_1,Static,Static
3050738,0.16,0.0,-9.57,Person_1,Static,Static
3050750,0.2,0.0,-9.53,Person_1,Static,Static
3050762,0.2,0.04,-9.53,Person_1,Static,Static
3050774,0.2,0.08,-9.57,Person_1,Static,Static
3050786,0.2,0.0,-9.57,Person_1,Static,Static
3050798,0.2,0.0,-9.57,Person_1,Static,Static
3050810,0.2,0.0,-9.57,Person_1,Static,Static
3050822,0.2,0.04,-9.53,Person_1,Static,Static
3050834,0.16,0.0,-9.57,Person_1,Static,Static
3050846,0.16,-0.04,-9.53,Person_1,Static,Static
3050858,0.2,0.04,-9.53,Person_1,Static,Static
3050870,0.2,0.0,-9.57,Person_1,Static,Static
3050882,0.16,0.04,-9.53,Person_1,Static,Static
3050894,0.16,0.04,-9.53,Person_1,Static,Static
3050906,0.16,0.04,-9.57,Person_1,Static,Static
3050918,0.2,0.0,-9.53,Person_1,Static,Static
3050930,0.16,0.0,-9.49,Person_1,Static,Static
3050942,0.24,0.0,-9.53,Person_1,Static,Static
3050954,0.2,0.0,-9.57,Person_1,Static,Static
3050966,0.2,0.04,-9.57,Person_1,Static,Static
3050978,0.2,0.04,-9.53,Person_1,Static,Static
