Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:55.817,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.824,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:55.832,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:55.860,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:55.863,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.869,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:55.897,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.907,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.907,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:55.937,0.63,0.16,-9.45,Stationary
2024-08-15 10:13:55.968,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.968,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.976,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.976,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.976,0.71,0.08,-9.41,Stationary
2024-08-15 10:13:56.004,0.67,0.24,-9.41,Stationary
2024-08-15 10:13:56.008,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:56.016,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:56.023,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:56.034,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.060,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.063,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:56.072,0.75,0.16,-9.49,Stationary
2024-08-15 10:13:56.101,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:56.107,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:56.107,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:56.140,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:56.144,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.151,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:56.176,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.180,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.187,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:56.193,0.67,0.16,-9.53,Stationary
2024-08-15 10:13:56.220,0.75,0.08,-9.45,Stationary
2024-08-15 10:13:56.224,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.232,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.260,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.264,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.266,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:56.296,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.330,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.333,0.63,0.16,-9.41,Stationary
2024-08-15 10:13:56.334,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.339,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:56.339,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:56.353,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:56.357,0.63,0.12,-9.49,Stationary
2024-08-15 10:13:56.389,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:56.393,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:56.400,0.71,0.2,-9.49,Stationary
2024-08-15 10:13:56.428,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.431,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:56.438,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.464,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.467,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:56.473,0.67,0.16,-9.53,Stationary
2024-08-15 10:13:56.480,0.67,0.16,-9.53,Stationary
2024-08-15 10:13:56.507,0.71,0.12,-9.49,Stationary
