Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2),state
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.71, 0.08, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.810] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.810] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.810] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.810] 0.75, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.810] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.810] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.63, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.818] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.75, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.818] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.818] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.823] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.20, -9.41, Stationary
[2024-08-15 10:17:12.838] 0.71, 0.16, -9.38, Stationary
[2024-08-15 10:17:12.838] 0.75, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.838] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.838] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.838] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.838] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.63, 0.08, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.844] 0.75, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.850] 0.67, 0.08, -9.53, Stationary
[2024-08-15 10:17:12.850] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.850] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.850] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.850] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.850] 0.63, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.090] 0.75, 0.08, -9.45, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.12, -9.38, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.63, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.67, 0.16, -9.45, St, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.090] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.090] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.125] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.137] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.137] 0.67, 0.20, -9.41, Stationary
[2024-08-15 10:17:13.137] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.174] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.179] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.179] 0.71, 0.20, -9.41, Stationary
[2024-08-15 10:17:13.212] 0.67, 0.08, -9.49, Stationary
[2024-08-15 10:17:13.214] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.217] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.248] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.264] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.269] 0.59, 0.20, -9.45, Stationary
[2024-08-15 10:17:13.311] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.311] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.333] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.349] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.359] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.365] 0.75, 0.12, -9.38, Stationary
[2024-08-15 10:17:13.365] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.367] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.367] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.375] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.397] 0.67, 0.20, -9.41, Stationary
[2024-08-15 10:17:13.409] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.409] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.442] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.456] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.462] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.478] 0.71, 0.12, -9.45, Stationary
