Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
5080007, 0.67, 0.51, -9.41
5080019, 0.67, 0.47, -9.38
5080031, 0.71, 0.47, -9.38
5080043, 0.67, 0.55, -9.41
5080055, 0.71, 0.47, -9.41
5080067, 0.67, 0.51, -9.41
5080079, 0.71, 0.47, -9.38
5080091, 0.75, 0.47, -9.34
5080103, 0.71, 0.39, -9.41
5080115, 0.71, 0.39, -9.45
5080127, 0.63, 0.39, -9.41
5080139, 0.63, 0.43, -9.45
5080151, 0.67, 0.47, -9.38
5080163, 0.71, 0.51, -9.45
5080175, 0.67, 0.51, -9.41
5080187, 0.75, 0.51, -9.41
5080199, 0.67, 0.51, -9.41
5080211, 0.67, 0.51, -9.41
5080223, 0.67, 0.39, -9.45
5080235, 0.71, 0.43, -9.41
5080247, 0.75, 0.43, -9.41
5080259, 0.71, 0.51, -9.38
5080271, 0.71, 0.43, -9.41
5080283, 0.63, 0.51, -9.41
5080295, 0.63, 0.51, -9.38
5080307, 0.63, 0.51, -9.41
5080319, 0.75, 0.47, -9.41
5080331, 0.75, 0.43, -9.41
5080343, 0.67, 0.43, -9.41
5080355, 0.67, 0.55, -9.41
5080367, 0.63, 0.55, -9.41
5080379, 0.71, 0.43, -9.41
5080391, 0.71, 0.43, -9.38
5080403, 0.78, 0.43, -9.41
5080415, 0.75, 0.51, -9.49
5080427, 0.67, 0.47, -9.38
5080439, 0.63, 0.43, -9.53
5080451, 0.63, 0.47, -9.38
5080463, 0.67, 0.51, -9.34
5080475, 0.75, 0.47, -9.45
5080487, 0.75, 0.47, -9.49
5080499, 0.71, 0.47, -9.30
5080511, 0.67, 0.47, -9.41
5080523, 0.63, 0.47, -9.45
5080535, 0.67, 0.43, -9.45
5080547, 0.67, 0.43, -9.41
5080559, 0.71, 0.47, -9.41
5080571, 0.71, 0.43, -9.38
5080583, 0.75, 0.55, -9.38
5080595, 0.63, 0.51, -9.45
5080607, 0.67, 0.51, -9.41
5080619, 0.71, 0.43, -9.38
5080631, 0.67, 0.47, -9.45
5080643, 0.75, 0.47, -9.45
5080655, 0.71, 0.47, -9.38
5080667, 0.71, 0.51, -9.41
5080679, 0.63, 0.51, -9.41
5080691, 0.71, 0.51, -9.41
5080703, 0.71, 0.47, -9.41
5080715, 0.71, 0.47, -9.45
5080727, 0.71, 0.43, -9.41
5080739, 0.71, 0.51, -9.41
5080751, 0.63, 0.43, -9.41
5080763, 0.71, 0.47, -9.38
5080775, 0.67, 0.47, -9.41
5080787, 0.71, 0.43, -9.45
5080799, 0.71, 0.39, -9.41
5080811, 0.71, 0.47, -9.49
5080823, 0.67, 0.51, -9.49
5080835, 0.71, 0.51, -9.41
5080847, 0.67, 0.51, -9.45
5080859, 0.67, 0.51, -9.41
5080871, 0.75, 0.47, -9.38
5080883, 0.67, 0.51, -9.38
5080895, 0.75, 0.43, -9.45
5080907, 0.67, 0.39, -9.41
5080919, 0.71, 0.43, -9.45
5080931, 0.67, 0.43, -9.41
5080943, 0.71, 0.47, -9.49
5080955, 0.67, 0.47, -9.45
5080967, 0.67, 0.51, -9.41
5080979, 0.67, 0.51, -9.41
5080991, 0.71, 0.51, -9.41
5081003, 0.75, 0.51, -9.38
5081015, 0.67, 0.43, -9.45
5081027, 0.67, 0.39, -9.45
5081039, 0.63, 0.43, -9.41
5081051, 0.63, 0.43, -9.38
5081063, 0.71, 0.43, -9.45
5081075, 0.71, 0.47, -9.41
